minlp_time,lp_time,misoc_time
283.96,3.04,9.45
370.51,2.88,8.16
346.56,2.81,8.88
501.43,2.84,24.27
471.36,2.75,10.61
174.8,2.64,11.08
257.82,3.18,40.36
146.68,2.58,31.14
299.27,2.83,9.79
267.08,3.08,8.28
159.9,2.92,11.35
130.61,3.0,26.03
249.01,2.88,24.28
267.57,3.09,37.15
170.82,3.28,35.33
303.23,3.39,13.49
992.39,2.9,7.16
134.49,2.66,33.61
178.14,2.89,8.49
187.68,2.81,25.58
140.83,2.96,11.26
138.57,3.27,11.08
161.87,2.97,46.86
147.49,3.13,7.87
257.28,3.04,11.1
327.21,3.09,741.11
330.89,2.98,9.1
368.86,2.88,7.78
260.53,2.6,23.67
317.02,3.16,50.44
240.64,2.94,9.03
146.43,2.6,25.88
304.67,2.69,47.9
138.69,2.91,7.49
166.9,2.86,34.81
307.95,2.63,46.61
128.18,3.06,7.87
188.02,2.59,38.53
286.05,2.79,12.09
282.1,2.91,22.92
216.75,3.15,13.22
178.11,3.14,11.35
259.06,2.74,20.98
311.91,3.38,11.03
231.64,2.51,23.16
342.69,2.87,7.57
377.5,2.77,9.23
198.23,2.9,38.27
294.74,2.8,9.28
340.68,3.12,7.7
247.09,2.94,11.69
486.16,2.9,9.59
130.67,2.72,14.65
130.06,2.84,11.51
764.12,2.68,522.84
281.24,2.76,39.63
149.38,3.11,50.98
328.81,2.67,24.5
567.47,2.8,34.94
55.11,3.18,10.22
123.62,2.94,12.34
271.6,2.74,29.84
163.24,3.06,50.13
4.91,3.23,7.23
149.32,2.67,21.69
274.37,3.1,11.59
156.1,2.91,27.34
687.17,2.93,6.82
141.5,2.76,13.64
121.45,3.2,13.1
149.92,2.76,9.73
92.96,2.73,13.38
334.24,2.73,77.75
275.6,2.8,28.84
228.06,3.03,13.03
253.83,3.11,12.12
242.16,2.52,10.29
174.54,2.63,8.81
166.09,3.22,9.65
244.03,2.84,34.94
469.92,3.04,46.06
158.97,2.85,14.99
311.8,2.59,24.2
151.75,3.0,33.4
107.6,3.15,142.68
404.41,2.98,11.97
132.37,2.97,10.3
256.56,2.79,125.91
164.22,2.63,10.1
418.89,3.02,11.56
285.75,3.38,9.58
251.0,3.31,10.07
124.84,2.81,29.16
144.62,2.74,9.91
108.32,2.56,10.54
132.06,2.88,9.26
135.07,3.18,14.17
272.7,2.9,9.45
138.93,2.8,9.61
141.51,2.81,23.52
299.85,2.55,42.47
282.41,2.77,26.09
136.34,3.11,8.77
276.2,2.94,11.53
118.1,2.72,12.64
216.77,2.68,26.22
230.15,2.9,42.47
231.62,2.64,10.27
262.34,3.09,27.66
143.25,2.83,10.83
264.7,3.07,14.7
637.67,2.99,11.78
613.13,3.17,38.96
299.59,3.01,27.1
355.79,2.74,61.77
151.4,2.85,10.65
261.13,3.06,40.3
411.43,3.69,8.4
140.1,2.67,14.01
377.91,2.77,30.83
13.56,2.81,9.36
215.16,3.04,37.18
86.29,3.34,8.55
165.65,2.78,11.05
319.14,2.8,9.94
266.51,3.13,6.2
662.25,2.87,35.53
230.19,2.82,10.55
179.42,2.75,30.75
158.37,3.04,11.82
235.22,2.94,10.57
669.82,3.13,15.52
170.67,3.1,47.78
194.57,2.84,11.15
160.45,2.75,10.25
223.09,2.69,10.64
139.31,2.86,6.84
140.38,2.87,32.07
113.62,2.7,7.64
438.12,2.68,10.04
292.43,2.86,24.13
166.57,2.68,119.98
251.88,2.78,7.43
291.01,3.18,31.83
198.47,3.03,39.51
370.48,2.62,24.0
233.99,2.9,10.66
276.09,2.82,8.9
124.19,2.79,10.72
605.67,3.04,12.85
255.08,2.88,33.62
809.33,2.98,11.51
307.0,3.11,9.08
242.56,2.62,24.97
292.09,3.04,28.44
259.25,2.96,84.75
235.65,2.87,9.74
156.75,2.91,28.08
259.66,2.62,8.12
124.42,2.88,6.59
257.42,2.79,12.38
157.62,3.07,33.42
284.66,2.89,15.0
407.8,3.28,12.31
131.3,2.78,12.09
316.63,2.78,928.8
289.51,3.36,384.02
173.3,2.99,28.8
156.01,3.3,11.32
213.29,2.95,8.04
477.18,3.06,39.7
352.91,2.67,67.29
189.88,3.15,8.02
246.63,2.88,12.86
242.56,2.86,27.84
222.76,3.08,7.22
157.0,2.86,12.08
170.85,2.81,13.09
362.21,2.65,25.42
120.05,2.99,40.0
262.68,2.94,32.76
231.56,2.88,8.92
741.26,2.73,26.76
343.5,2.6,8.72
351.79,3.03,35.12
153.23,3.06,26.16
105.7,2.75,9.56
734.98,3.51,11.53
652.47,2.86,8.47
192.12,2.76,27.29
975.99,3.09,9.89
245.98,2.62,22.03
450.56,3.12,32.16
198.95,2.85,10.66
161.18,3.38,24.36
141.4,2.84,9.9
155.0,2.74,13.33
250.89,2.74,8.13
244.65,3.01,8.83
318.39,2.81,9.8
151.28,2.97,8.54
230.95,2.65,10.43
115.41,2.81,50.62
107.11,2.97,46.84
245.84,2.73,34.66
156.82,2.73,43.52
110.34,3.07,22.55
129.31,3.37,12.16
418.09,3.07,31.5
153.01,2.79,37.82
116.95,2.66,12.0
194.44,2.94,22.76
238.8,3.03,35.23
456.69,2.99,12.91
668.56,2.94,13.7
278.66,2.79,9.22
262.99,2.76,44.52
291.61,2.76,11.92
142.48,2.8,35.06
159.92,2.75,24.43
157.42,2.98,11.64
221.33,2.76,11.05
546.54,2.72,27.16
128.09,2.81,7.76
246.18,2.57,10.45
276.16,2.77,20.82
139.48,3.0,15.51
207.51,2.8,29.11
147.7,2.73,18.83
130.44,3.07,15.75
121.52,2.67,29.14
863.02,2.57,34.21
659.48,2.9,12.2
140.14,2.84,56.51
218.17,3.46,8.85
132.01,2.75,9.67
118.73,2.66,137.85
129.81,3.08,12.38
307.39,2.71,10.82
136.8,2.95,9.83
210.0,3.88,38.58
133.62,2.82,13.45
191.58,2.82,28.63
151.82,2.71,35.65
255.66,3.13,13.31
318.5,2.86,39.41
329.58,3.09,21.71
392.03,3.07,13.4
169.03,2.69,9.56
301.43,2.6,14.36
283.96,2.88,12.05
834.45,2.74,21.34
288.52,2.75,13.99
395.41,3.01,16.51
128.29,2.81,47.47
176.73,2.74,36.5
368.72,3.36,9.06
254.82,2.77,31.07
150.25,2.71,37.39
153.81,3.37,26.36
143.66,2.93,14.69
352.63,3.15,10.77
264.82,2.6,42.59
245.64,2.74,10.7
726.96,2.92,7.03
4.24,2.73,39.79
359.14,2.77,27.5
136.24,3.42,44.54
177.81,2.86,15.77
933.34,3.3,32.34
8.66,2.92,28.33
245.13,2.81,10.22
180.13,2.62,29.49
256.85,2.84,11.42
160.7,3.19,58.2
205.8,2.6,8.28
256.18,2.93,14.8
132.11,3.02,28.78
307.57,3.34,13.97
840.02,3.0,667.29
278.22,2.85,11.45
129.57,2.82,33.45
122.85,2.88,29.67
171.47,2.87,19.75
112.69,3.05,14.11
276.32,2.83,7.6
174.09,2.93,13.73
169.95,2.92,13.93
665.49,2.91,9.85
199.94,3.16,10.84
369.8,2.79,31.28
138.11,3.26,11.64
282.49,3.17,9.63
304.62,2.83,29.56
318.04,2.98,30.3
134.15,3.08,11.41
282.43,2.83,14.27
431.9,2.81,26.73
690.01,2.6,12.71
305.52,2.69,8.53
140.43,2.86,10.76
188.38,2.64,44.48
317.38,2.98,12.24
139.82,3.26,12.57
295.91,2.99,11.43
294.29,3.02,27.62
349.76,3.03,9.77
360.86,3.04,8.05
175.97,2.59,38.95
280.76,2.84,11.82
261.74,2.72,10.53
209.86,2.96,13.98
287.65,3.25,12.57
248.84,2.77,31.87
263.71,2.7,24.89
278.42,3.44,12.68
593.88,2.87,11.52
309.98,2.84,6.85
231.48,2.83,50.53
951.54,2.97,17.48
152.42,2.88,55.48
229.98,2.72,22.11
267.25,3.24,8.71
643.99,2.62,25.42
296.68,2.82,19.6
274.63,3.2,9.39
155.68,2.72,39.2
391.01,2.93,8.39
153.55,3.12,13.78
132.76,2.88,25.2
139.26,2.98,7.89
131.33,3.0,31.0
278.2,2.73,9.45
254.56,3.04,14.66
635.13,2.98,10.62
156.68,2.82,9.65
280.13,2.99,6.82
293.79,3.21,32.88
247.01,2.96,15.0
137.41,2.88,15.86
344.6,2.84,14.22
256.84,3.02,46.72
145.62,2.88,8.04
250.23,2.84,23.98
5.87,2.83,8.67
139.75,2.76,11.19
142.2,2.75,41.13
169.23,2.83,13.83
127.91,2.86,42.86
297.25,3.08,8.2
365.26,2.93,29.13
305.54,2.81,7.96
247.34,2.94,13.4
220.82,3.12,27.31
866.93,3.23,7.58
255.28,2.83,13.89
203.74,3.24,16.69
140.74,2.74,11.75
134.9,3.06,45.14
708.41,2.93,11.54
154.51,2.77,7.87
137.81,2.89,13.66
196.64,2.87,30.3
111.7,2.76,53.02
207.56,2.86,31.25
242.43,3.19,31.55
175.46,2.76,12.76
207.0,2.84,39.97
124.98,2.57,10.4
299.14,3.07,8.09
314.29,2.86,21.44
257.81,3.22,10.69
286.55,3.2,9.19
705.6,2.91,26.22
284.39,2.88,29.71
124.33,3.55,32.8
172.92,2.8,21.31
282.16,2.76,8.25
150.39,3.25,7.0
118.26,2.77,15.03
246.91,2.81,10.77
320.26,3.14,11.43
308.32,2.73,26.91
451.48,2.6,12.92
356.6,2.61,10.01
364.13,2.99,764.6
315.26,3.34,12.13
265.11,3.07,27.43
165.24,2.76,23.49
243.77,3.18,9.9
254.17,2.69,8.74
130.3,2.93,9.26
242.88,2.69,7.24
265.86,2.82,28.27
324.55,2.88,9.87
152.85,3.3,17.39
137.57,3.18,10.3
1000.27,3.11,10.82
128.97,2.85,7.04
170.19,2.62,18.71
192.68,3.02,14.21
118.88,2.96,13.19
233.14,3.2,11.95
541.4,3.16,28.77
249.99,2.7,21.9
172.29,3.13,28.75
330.88,2.62,36.03
159.13,2.99,10.15
186.5,2.8,27.2
182.23,2.97,8.26
246.77,3.35,14.51
267.57,2.68,10.01
126.2,2.93,10.61
218.31,3.63,12.91
162.1,2.98,23.03
282.01,3.07,11.24
209.79,3.2,8.94
286.48,3.42,13.01
259.01,3.04,33.78
149.93,2.92,10.94
324.67,3.12,13.92
166.0,2.74,7.77
286.72,2.69,7.32
793.56,2.99,9.49
284.84,2.78,45.17
281.47,2.96,13.48
183.05,3.14,11.21
237.65,2.86,10.68
247.75,2.78,11.1
444.46,2.88,11.9
151.64,3.12,23.97
228.67,2.77,9.3
119.38,2.72,14.83
170.12,2.53,8.52
181.84,3.3,8.0
189.59,2.9,11.89
248.92,3.14,38.55
101.57,2.81,39.94
319.22,2.74,7.21
982.02,2.93,11.5
147.84,3.34,11.6
590.38,3.12,8.53
276.04,2.63,8.43
673.01,2.82,41.38
218.98,2.79,10.68
149.64,2.71,15.98
329.73,2.63,9.98
204.34,2.77,27.7
260.38,2.51,32.63
164.5,3.42,36.46
151.55,2.9,9.11
308.6,2.93,24.27
263.2,2.85,11.89
244.26,2.66,10.79
223.06,2.88,28.62
258.92,2.95,10.33
