case,minlp_time,misoc_time,lp_time
nomination_cold_2785,1000.0,7.42,2.74
nomination_cold_2791,1000.0,8.14,2.88
nomination_cold_2794,1000.0,48.14,2.57
nomination_cold_2795,1000.0,1000.47,2.81
nomination_cold_2801,1000.0,8.21,2.69
nomination_cold_2817,1000.0,8.95,2.69
nomination_cold_2819,1000.0,8.18,2.79
nomination_cold_2827,1000.0,11.43,3.36
nomination_cold_2834,1000.0,8.25,2.7
nomination_cold_2847,1000.0,34.96,2.59
nomination_cold_2852,1000.0,9.29,2.85
nomination_cold_2855,1000.01,8.54,2.81
nomination_cold_2857,1000.0,12.79,2.92
nomination_cool_0047,1000.0,31.06,2.63
nomination_cool_0065,1000.0,9.95,2.79
nomination_cool_0066,1000.01,7.08,3.49
nomination_cool_0098,1000.0,29.9,2.86
nomination_cool_0112,1000.0,27.41,2.77
nomination_cool_0121,1000.0,30.08,2.69
nomination_cool_0135,1000.0,10.21,2.8
nomination_cool_0152,1000.01,34.85,2.79
nomination_cool_0177,1000.02,1000.95,2.6
nomination_cool_0192,1000.0,20.24,2.91
nomination_cool_0219,1000.0,7.43,3.04
nomination_cool_0232,1000.0,8.2,2.77
nomination_cool_0252,1000.0,43.73,2.66
nomination_cool_0276,1000.01,20.62,2.71
nomination_cool_0315,1000.0,11.78,2.63
nomination_cool_0323,1000.0,1000.21,2.72
nomination_cool_0336,1000.0,7.67,2.65
nomination_cool_0353,1000.0,8.17,2.89
nomination_cool_0363,1000.0,32.31,2.69
nomination_cool_0377,1000.0,7.15,3.21
nomination_cool_0411,1000.0,10.06,2.86
nomination_cool_0477,1000.01,37.2,3.12
nomination_cool_0497,1000.0,13.18,3.55
nomination_cool_0544,1000.21,1000.32,2.96
nomination_cool_0563,1000.0,23.65,2.7
nomination_cool_0567,1000.03,11.39,3.18
nomination_cool_0573,1000.0,47.68,2.73
nomination_cool_0591,1000.0,25.94,2.83
nomination_cool_0619,1000.0,29.09,2.67
nomination_cool_0737,1000.0,17.61,3.03
nomination_cool_0745,1000.0,11.4,3.2
nomination_cool_0785,1000.0,9.05,3.02
nomination_cool_0802,1000.0,32.21,2.5
nomination_cool_0809,1000.0,43.98,2.65
nomination_cool_0810,1000.01,11.32,2.96
nomination_cool_0849,1000.0,1001.31,2.52
nomination_cool_0870,1000.0,13.99,2.9
nomination_cool_0889,1000.01,8.18,2.8
nomination_cool_0892,1000.0,13.41,2.5
nomination_cool_0899,1000.0,40.06,2.9
nomination_cool_0918,1000.0,8.7,2.86
nomination_cool_0951,1000.0,11.55,2.83
nomination_cool_0956,1000.0,36.79,2.71
nomination_cool_0960,1000.0,11.53,2.81
nomination_cool_0971,1000.0,8.03,2.77
nomination_cool_1000,1000.0,29.89,3.17
nomination_cool_1005,1000.0,10.19,3.06
nomination_cool_1050,1000.0,14.31,2.83
nomination_cool_1070,1000.0,11.23,3.07
nomination_cool_1165,1000.0,11.94,2.8
nomination_cool_1205,1000.0,12.35,2.76
nomination_cool_1213,1000.01,19.76,2.37
nomination_cool_1221,1000.0,7.46,3.09
nomination_cool_1241,1000.0,11.17,3.16
nomination_cool_1296,1000.0,10.0,2.68
