ideal,simple_cnga,full_cnga
0.0006207401208916487,0.000538180326402877,0.0005465052778919356
0.0006447369192442675,0.0005144026837402444,0.0005269813058043222
0.0005867053425446181,0.0005343353602519518,0.0005397308542322381
0.0006436303964426129,0.0005165415797201272,0.0005288478670176184
0.0006253667722710783,0.000536286116343375,0.0005452210409016318
0.0005931990599875941,0.0005366955559042351,0.000542501641607018
0.0005023576804954381,0.00047772763068514896,0.00048030281207204936
0.0006564212582669493,0.00047974346803409355,0.0004959178618086426
0.0006536887514029747,0.0004903173518196809,0.0005055172479680014
0.0006182265043128407,0.000538863049259885,0.000546885884720024
0.0006577665626710763,0.00047378731589098046,0.0004904757148316638
0.0006569503146712743,0.0004774652951849494,0.0004938390696767166
0.0004046407092225892,0.00039166858457617606,0.0003930311076063787
0.0005714794219881517,0.0005270313826121827,0.0005316324294104972
6.410741633970808e-7,4.886540964624564e-7,5.030663857861224e-7
6.144001642733084e-7,5.309014851067788e-7,5.393562887333805e-7
6.43774862603921e-7,4.783747015627917e-7,4.937717721382993e-7
4.4491205419698934e-7,4.2872783019995993e-7,4.3042878206924415e-7
7.349078741053146e-11,6.758026081340167e-11,7.00769158422272e-11
6.349368472533196e-7,5.059989171546989e-7,5.185139509870556e-7
6.459970768051557e-7,4.6830665330634e-7,4.845922190721191e-7
4.857705701921917e-7,4.643339815669656e-7,4.665837721053739e-7
4.050325451576726e-7,3.9245647756260843e-7,3.9377923758523005e-7
6.353997714698968e-7,5.049262671166592e-7,5.175696864405887e-7
6.114431201241148e-7,5.321440047963517e-7,5.401999208891122e-7
6.269353086566116e-7,5.201097741582228e-7,5.307091764593671e-7
1.7905171534453174e-7,1.7608100623509976e-7,1.7639475682039024e-7
6.442763882755859e-7,4.762413549773101e-7,4.918325012683703e-7
6.175275353929196e-7,5.291308031151612e-7,5.380458330814917e-7
6.384667627660787e-7,4.969110845057271e-7,5.104636542997391e-7
6.330397722630233e-7,5.100625882826846e-7,5.220730743798273e-7
6.330847161308092e-7,5.099721462761612e-7,5.219940839977002e-7
5.871357439361559e-7,5.318100972328141e-7,5.375249403758201e-7
3.790528145402407e-7,3.683106378638689e-7,3.6944134293492665e-7
4.845010437171227e-11,3.9084846046098816e-11,4.000209851903876e-11
